Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
124,2017,2017,194.4583217592593,202.20833333333331,10.99972222222222,5.0,5,['Fe'],Exponential Decay,-0.9674403986712834,-0.9544303329537529,"(Timestamp('2017-07-14 13:59:59.910719'), Timestamp('2017-07-20 04:00:00.110883'))","(Timestamp('2017-07-15 19:59:59.988481'), Timestamp('2017-07-21 09:59:59.873281'))"
125,2017,2017,250.54166666666663,253.6666550925926,13.0,15.99972222222222,6,[],Power-Law Decay,-0.9270280133151132,-0.9326176183177821,"(Timestamp('2017-09-08 02:00:00.083522'), Timestamp('2017-09-10 11:00:00.105116'))","(Timestamp('2017-09-08 04:00:00.067682'), Timestamp('2017-09-10 13:00:00.089277'))"
126,2017,2017,253.6666550925926,261.1249884259259,15.99972222222222,2.999722222222222,6,[],Exponential Decay,-0.9651212732789828,-0.8798848963162834,"(Timestamp('2017-09-11 21:59:59.985597'), Timestamp('2017-09-17 01:00:00.115197'))","(Timestamp('2017-09-13 02:00:00.079199'), Timestamp('2017-09-18 04:59:59.893442'))"
127,2023,2023,54.958321759259256,62.833321759259256,22.999722222222225,19.999722222222225,4,"['Si', 'Fe']",Exponential Decay,-0.9749370228049332,-0.9240503286974504,"(Timestamp('2023-02-26 02:00:00.061918'), Timestamp('2023-03-03 19:59:59.915038'))","(Timestamp('2023-02-26 08:59:59.848797'), Timestamp('2023-03-04 03:00:00.017281'))"
128,2023,2023,127.1666550925926,136.83333333333334,3.999722222222222,20.0,6,[],Exponential Decay,-0.9662958097439139,-0.8506961912574652,"(Timestamp('2023-05-08 23:59:59.952478'), Timestamp('2023-05-16 16:59:59.906398'))","(Timestamp('2023-05-09 22:59:59.927997'), Timestamp('2023-05-17 15:59:59.881917'))"
129,2023,2023,198.6666550925926,205.0,15.99972222222222,0.0,5,['Fe'],Exponential Decay,-0.9812217815821944,-0.8917998013379098,"(Timestamp('2023-07-19 00:59:59.851679'), Timestamp('2023-07-23 06:00:00.155522'))","(Timestamp('2023-07-19 17:59:59.874717'), Timestamp('2023-07-23 22:59:59.863196'))"
130,2023,2023,209.7083217592593,215.74998842592595,16.999722222222225,17.999722222222225,6,[],Exponential Decay,-0.9605126279869172,-0.8588855918961084,"(Timestamp('2023-07-29 17:00:00.031680'), Timestamp('2023-08-03 05:00:00.122402'))","(Timestamp('2023-07-30 00:00:00.133916'), Timestamp('2023-08-03 11:59:59.909282'))"
131,2023,2023,219.7916550925926,229.2916550925926,18.999722222222225,6.999722222222222,5,['Fe'],Exponential Decay,-0.9811271100881926,-0.9516654257838961,"(Timestamp('2023-08-10 18:00:00.108002'), Timestamp('2023-08-17 10:59:59.936641'))","(Timestamp('2023-08-10 05:00:00.053278'), Timestamp('2023-08-16 21:59:59.881917'))"
132,2023,2023,244.2083217592593,246.5416550925926,4.999722222222222,12.99972222222222,4,"['Si', 'Fe']",Exponential Decay,-0.9394934256625939,-0.913763227139906,"(Timestamp('2023-09-01 12:00:00.073441'), Timestamp('2023-09-03 10:59:59.858877'))","(Timestamp('2023-09-01 16:59:59.876160'), Timestamp('2023-09-03 15:59:59.976960'))"
133,2024,2024,28.965046296296297,32.91255787037037,23.16111111111111,21.90138888888889,4,"['Si', 'Fe']",Exponential Decay,-0.9743142492090257,-0.9480375639950479,"(Timestamp('2024-01-30 01:05:24.504000'), Timestamp('2024-02-01 20:54:15.717602'))","(Timestamp('2024-01-29 23:05:44.387518'), Timestamp('2024-02-01 18:54:35.285756'))"
