Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
347,2003,2003,160.6666550925926,166.37498842592595,15.999722222222221,8.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
349,2003,2003,168.83332175925926,178.25,19.999722222222225,6.0,5,['Fe']
351,2003,2003,189.125,191.9166550925926,3.0,21.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
356,2003,2003,208.74998842592595,215.29166666666666,17.999722222222225,7.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
357,2003,2003,215.95832175925926,221.0416550925926,22.999722222222225,0.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
358,2003,2003,227.4166550925926,230.49998842592595,9.999722222222221,11.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
359,2003,2003,231.33333333333334,234.20832175925926,8.0,4.999722222222222,2,"['Si', 'Fe', 'O', 'N']"
360,2003,2003,233.83332175925926,237.91666666666666,19.999722222222225,22.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
364,2003,2003,259.45832175925926,267.2083333333333,10.999722222222221,5.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
365,2003,2003,273.375,276.4999884259259,9.0,11.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
366,2003,2003,277.5833333333333,279.9583333333333,14.0,23.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
367,2003,2003,296.7916666666667,299.7499884259259,19.0,17.999722222222225,3,"['Si', 'Fe', 'N']"
369,2003,2003,303.125,306.375,3.0,9.0,6,[]
370,2003,2003,306.33332175925926,316.0833333333333,7.999722222222222,2.0,6,[]
372,2003,2003,318.5416666666667,322.1666666666667,13.0,4.0,3,"['Si', 'Fe', 'N']"
376,2003,2003,327.0416550925926,331.875,0.9997222222222222,21.0,4,"['Si', 'Fe']"
377,2003,2003,331.6666550925926,336.4583333333333,15.999722222222221,11.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
378,2003,2003,336.0833333333333,344.9999884259259,2.0,23.999722222222225,5,['Fe']
379,2003,2003,346.58332175925926,350.2916550925926,13.999722222222221,6.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
380,2003,2003,352.3333333333333,354.7083333333333,8.0,17.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
381,2003,2004,364.4999884259259,2.6621064814814814,11.999722222222221,15.890555555555554,1,"['Fe', 'C', 'Si', 'O', 'N']"
383,2004,2004,8.479502314814816,14.006030092592594,11.508055555555556,0.14472222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
385,2004,2004,21.443981481481483,25.100624999999997,10.655555555555557,2.415,1,"['Fe', 'C', 'Si', 'O', 'N']"
387,2004,2004,31.95685185185185,34.907094907407405,22.964444444444442,21.77027777777778,1,"['Fe', 'C', 'Si', 'O', 'N']"
391,2004,2004,58.96618055555556,64.035625,23.188333333333333,0.855,1,"['Fe', 'C', 'Si', 'O', 'N']"
392,2004,2004,64.24339120370371,70.06078703703704,5.841388888888889,1.458888888888889,1,"['Fe', 'C', 'Si', 'O', 'N']"
393,2004,2004,76.62613425925926,80.07502314814815,15.027222222222223,1.8005555555555557,1,"['Fe', 'C', 'Si', 'O', 'N']"
